" "	competence	feedbacks	firstAssignment	firstHIT	hits	timeAvg	timeMax	timeMin	timeStdev
A3GNQDFPZALU92	0.058		3WR9XG3T64NPIV02GSTOXIL8P9G47F	3KWGG5KP6JE8CINBNBWTBEY2X96MC8	8	794	1168	449	272
A3LW1Z5Y6YX552	0.351		3U8YCDAGXQSIPPNGTQFSL6CQESDQ0F	3QHITW7OYOLB4IO5VQ7JMSSJ77JAQI	2	264	324	203	86
A3TKD7EJ6BM0M5	0.351		3URFVVM166U7J30NETCP16C1YB8ZU8	3T2EL38U0MWN0VWY60ZX603H8SRQX1	96	156	673	67	81
A3TQKAOIJSPPRB	0.439		3TYCR1GOTDV40DDT5FKOAJGILNDZLI	3D3B8GE8923CZNDL37EUQSRPWTE9PA	14	171	259	113	44
A3UK8YO8XN4JEP	0.228		3OB0CAO74I129RKYI8374KE9YBEYHV	3BC9H1KCYUOHKXIUN5K5H3SCYZ2YWJ	12	237	367	119	69
A8GWYS9O8FUEK	0.440		38F5OAUN5OOJU7OXVZD7R7UCVJS7H5	33IXYHIZB5UX2C3W9KJ4MTK7CG32ER	1	188	188	188	0
AB98SGS280TY5	0.422		3O7L7BFSHF14ZHEROP9YXTN8HK9EIR	3ZXV7Q5FJB0268VU1OSGGOET08UFCU	6	274	401	140	103
ACSYZN2MGIZUD	0.070		3XIQGXAUMDKGGXOC03VTUTI6I61X77	308KJXFUJRIOWYGXCU1ERX36REHTAE	3	329	458	229	117
AD8UJKT5HYGNJ	0.106	The last two were very hard, especially the last one.  I sat here trying hard to figure something out but it just doesn't explain any reason really.  Being naive doesn't really make a reason why Colorado went to far with pot.  I did try!;#3 & #5 were hard, I truely did my best and am almost out of time, lol.  They didn't seem to have a clear reason though similar topic and wasn't sure what would be right to do there...	3S4AW7T80CUOXGP4KMUYGN39LXD4LP	374UMBUHN51CPDDVW8X5XSTURH2TCG	2	1017	1041	992	35
AE861G0AY5RGT	0.103		3F1567XTNXH0LJBTTMYLEHDJGO19QN	39WSF6KUV2XB9JS1WIH1T6NADLYOEI	58	585	1098	159	246
ALJMDVY95Y5G4	0.253		3JNQLM5FT5YEU2AHG8BAN86B0BUL26	3XDJY5RK5SXOUMF53YHXJQ38IIT4U6	3	221	286	179	57
AMGQ3YEAMC3Z2	0.002		3Z4AIRP3C7P25B9ABNEKTJRTGMEX1S	3FSEU3P2NRC3F0PMAGI5M8RY3X8RR7	1	205	205	205	0
APW9F8OTJ4KXO	0.210		3EJJQNKU9SHTCQ8C4DBDWOLCVSFRHA	3IKDQS3DQECMGZXK2WY1JLRLG0MCII	91	375	1183	83	287
AQAP9XPU5607T	0.002		3Q5ZZ9ZEVPRBES9L4244GANH1TO58O	3Z33IC0JC0YP47AHPJNTWKG7IHFV9H	1	520	520	520	0
ASFR82SJYMGNU	0.106		3L70J4KAZHYK1THTG661ADH43SUDA3	3URJ6VVYUPZTHHV87C5OKKBJ0W54OT	2	290	291	289	1
AWQ575N3GXTL1	0.096		3C44YUNSI21ROXNV5POY086Z2EHPDI	3G5RUKN2ECFCW218NS12M3MUWED9NE	8	546	901	209	243
