assignmentIdToReject	assignmentIdToRejectComment
3A4TN5196LUP6OJTMGLI7TMQV8ECHP	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3YDGXNSEO06TI95LQXLUBIH30C748P	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3IXQG4FA2UADHD94A41VJSIKUA7B9S	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3O6CYIULEED3P8VI36SI22IJHWYWUJ	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3QRYMNZ7FZTY217FB0BL1NJQ56NNTS	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3CFJTT4SXU2JQ2ZH1HVSRJVRUA2I7V	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3QUO65DNQV0VKZMGCK18L85XEUZOUZ	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3JRJSWSMQIXP9EW83M2BTNLJXFA3E3	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
33FOTY3KENXE2DYFKRIXF66JEJIC1Q	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3FK0YFF9P0SQNYKDIMXRCM1OOU5VVX	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3IAS3U3I0GS2HTO5PVMG95A6O4XB20	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3UJ1CZ6IZI1TXCOUI0A9X1NIC29S5I	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
30JNVC0ORAWT0PTCRYMDRYB7ZNFHQZ	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3BQU611VFQWUTKU7CKNZSMNU6A399F	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
358010RM5F5IRNP8I1Y907Y945DXV2	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3MTMREQS4WUJAZHKX1BR216PAT7AWM	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
37FMASSAYD36SE27EY78WLHND0TBIA	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3PEIJLRY6U5V6CPD8B35M9HNBEFXWC	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
38YMOXR4MVBINX5H7OUFMW43EAG6WR	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3C5W7UE9CG2Z10VZ49XIDBFWDC1XML	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3RANCT1ZVGTB15X78FWMFO5Y7VGBUI	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3X65QVEQI1ZRSK2JD10GZLFXCPNLC5	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3X73LLYYQ2Q8XSGKB6UWN4G2UCSNHI	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3OCHAWUVGPW4BCVWJXK2YYNSO76KX3	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3M81GAB8A1VJ9CQQR6CH5N894AABQD	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3CPLWGV3MPBFIMY1DU64ANIEBZKN9S	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3KMS4QQVK32NBQ4BJ3EGSRNLK2AFK7	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3C5W7UE9CG2Z10VZ49XIDBFWDC1MXA	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3PDJHANYK6S0Q7ASCP8FLTUGZM36HR	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
37ZHEEHM6XY40ZHYGEO5NDT2BS637H	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
36AHBNMV1SOLXBFWWCKHDZZB643DYP	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3ERET4BTVNLEAGDYGHEOIV1AH4F9K9	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3VSOLARPKCL8EI5RVBMP19K86IT93Y	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3A0EX8ZRN90SIEHCIGTBI9BB3JRYB3	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3KV0LJBBH3XF449NVARQOTT8CVGRMJ	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3ERMJ6L4DZ45MLP8MWTKJC28BJMM7F	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3B837J3LDP8I2ZMSF7NC02SE4KYSRW	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3WOKGM4L72SF4DA0EDNOW1HQY5W0O9	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3JCG6DTRV426DISFAO970C38QABQQ4	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
