" "	competence	feedbacks	firstAssignment	firstHIT	hits	nonReasonCouns	timeAvg	timeMax	timeMin	timeStdev
A25YG9M911WA3T	0.009		3EKVH9QMEZGVWQMP3RDM4VY6SNCD29	3HA5ODM5KA479M6GYPNKDFLXBFDVSM	1	0	977	977	977	0
A27SMEOPKV84VI	0.884		3CN4LGXD5Y08XFW331JOAV55UPD4Y3	356ZPKYPUHTR0OLTBJ6AP9KG6C8YPI	1	0	1174	1174	1174	0
A2AMQX0BQZXG9N	0.704	This hit needs a longer timer - it takes more than 8 minutes to do some thinking about these situations.	3YGXWBAF71TVUCVY791ZD4DMR1VC43	3N3WJQXELS2B8IDOQ668ZOARMNCL2Q	1	0	1131	1131	1131	0
A2B6WQG0A9CKXQ	0.004		38SKSKU7R29I5NOJ5BW2AODSQSXLIU	3G5RUKN2ECFCW218NS12M3MUXO69NS	1	0	545	545	545	0
A2CJFO19NY4T5R	0.381		39GHHAVOMG3I2Q14H1IL08QHHL5J4P	3HA5ODM5KA479M6GYPNKDFLXBFDVSM	1	0	568	568	568	0
A2D563QZFLUW9H	0.003		3MAOD8E57RM5JIGZGACIQQ4WJ01XN8	3G5RUKN2ECFCW218NS12M3MUXO69NS	1	0	398	398	398	0
A2GB0RI43KU4Z	0.749	Timer is way too short. Also, the ambiguity in some of the claims was troublesome. Without more information, the claim could go either way.	3ON104KXQL848A13O010PYKPJHD4W4	37ZQELHEQ0AR3MK2C157RPSEXNTNML	1	0	1089	1089	1089	0
A2GS41OJ2X0HJ8	0.659		3VJ40NV2QJZGKM7RCFBYGCJVWEITO0	3URJ6VVYUPZTHHV87C5OKKBJ16X4O6	1	0	785	785	785	0
A2GTL8ODM5JYA2	0.749		3XC1O3LBOTY8E14UZNV6OVF119QLTO	37ZQELHEQ0AR3MK2C157RPSEXNTNML	1	0	893	893	893	0
A2P065E9CYMYJL	0.713		3JRJSWSMQIXP9EW83M2BTNLJYDDE3E	3BKZLF990ZBC00M8BWLZPEAQB8UYQ9	1	0	503	503	503	0
A2QBFXY9UQMJTT	0.570		3WS1NTTKEZOLY0X7FA4Y978C727F01	3HA5ODM5KA479M6GYPNKDFLXBFDVSM	1	0	1004	1004	1004	0
A2RCJ30AFLCI54	0.692		3KGTPGBS6YXHDSXBPM3BEV2UEOU2UX	3URJ6VVYUPZTHHV87C5OKKBJ16X4O6	1	0	946	946	946	0
A2VRDE2FHCBMF8	0.749	Maybe it would be useful to give slightly more time to complete the HIT to not make us rush through the claims and think carefully	3JMSRU9HQJ69LNYRNW8HCID2PX5EVA	37ZQELHEQ0AR3MK2C157RPSEXNTNML	1	0	1078	1078	1078	0
A2W1C5PDHUF25O	0.137		3Z7EFSHGNAQMSEJ8RK34AFAKKWNXCQ	3G5RUKN2ECFCW218NS12M3MUXO69NS	1	0	1144	1144	1144	0
A2XCSFZKU13WMY	0.884		3E7TUJ2EGDY6WA7OO0S1EI6KYTN9DY	356ZPKYPUHTR0OLTBJ6AP9KG6C8YPI	1	0	1058	1058	1058	0
A2XJAGYVNVPCP0	0.100		3X4JMASXCNLVLJLRA8I2QHHRS530BU	3MXX6RQ9EVHB2H79MCI39KG9BBT4PN	1	0	457	457	457	0
A2YKW761AK4ZGY	0.004		3L0KT67Y8FSRZ0YET2F68YLB85HSYZ	356ZPKYPUHTR0OLTBJ6AP9KG6C8YPI	1	0	1166	1166	1166	0
A331EA4IU21KXL	0.856		3RGU30DZTBKY6GQAN5IHM27H3DFMJE	3MXX6RQ9EVHB2H79MCI39KG9BBT4PN	1	0	592	592	592	0
A33LYSCQQU1YDJ	0.658		3EG49X351VOXCXA7HTQ1OFIAOAP6XK	3N3WJQXELS2B8IDOQ668ZOARMNCL2Q	1	0	982	982	982	0
A33QUS4NRVVMTN	0.999		320DUZ38G8YYE6UOC2KM9XNK7QDJGB	3BKZLF990ZBC00M8BWLZPEAQB8UYQ9	1	0	759	759	759	0
A340UGIDGIF4W6	0.250	I hope that I did these properly. I would like to do more of your hits in the near future.	39LOEL67OTH80DMHQJGB1DPXNB238T	3TX9T2ZCB9DHPNSZJRMOVA1E53YZWO	1	0	412	412	412	0
A34L0OOVHMBN90	0.005		3SPJ033422FY0XFO686SGXUOCMQYJB	3W1K7D6QSBTP1KUOO0QS8WOTV2HBZL	1	0	561	561	561	0
A358YR7MWC6LRH	0.510		3K5TEWLKGWNL1S0DJFY8XXBUHQZVIN	3URJ6VVYUPZTHHV87C5OKKBJ16X4O6	1	0	793	793	793	0
A35F9DZWLLHFY4	0.250		3UNH76FOCTHO15L995JKWPM5GGLYMF	3TX9T2ZCB9DHPNSZJRMOVA1E53YZWO	1	0	781	781	781	0
A360G7Q6RO5XRL	0.005	A longer hit timer please	3RJSC4XJ116TW34I9YRPNVHZI8T508	35F6NGNVM8V6DWIZ5RPUH61GRGKT7H	1	0	1168	1168	1168	0
A3AIX82WZQZB5A	0.001		3NVC2EB65RBNFJDZ3NE50QDZGPIY3D	3BKZLF990ZBC00M8BWLZPEAQB8UYQ9	1	0	356	356	356	0
A3AJJHOAV7WIUQ	0.749		3KOPY89HM9EXKUI0HND2Q3YB3L9J34	37ZQELHEQ0AR3MK2C157RPSEXNTNML	1	0	675	675	675	0
A3C9VI7QCLEVGT	0.749		336YQZE83WQQZHBPY3ENLSOCLBUM50	37ZQELHEQ0AR3MK2C157RPSEXNTNML	1	0	748	748	748	0
A3CX9UQ91LNQJJ	0.773		3KIBXJ1WD66HH3H4I6X6FLWZD1RKOL	3G5RUKN2ECFCW218NS12M3MUXO69NS	1	0	762	762	762	0
A3DAJROQC1BLNI	0.641		39N5ACM9HFZFL7AET9JWECN9CDH9P5	3URJ6VVYUPZTHHV87C5OKKBJ16X4O6	1	0	917	917	917	0
A3E3OELJKHW58C	0.334	The explanations given are VERY confusing. This is a task I would enjoy completing, and one I'd be good at with my English degree, but I can't even tell if I was doing what is asked.	3CP1TO84PUD0SD7WOLV36JAEF6D52S	3HA5ODM5KA479M6GYPNKDFLXBFDVSM	1	0	1176	1176	1176	0
A3F6SDO4GYBE4Y	0.002		3M81GAB8A1VJ9CQQR6CH5N89594QBL	3ZFRE2BDQ9QWENXPTWIAXTFLE54ZXH	1	0	669	669	669	0
A3FPXLLF0B8CIC	0.003		3X3OR7WPZ0CPGHC6WPKBXZJENW5L8Z	356ZPKYPUHTR0OLTBJ6AP9KG6C8YPI	1	0	914	914	914	0
A3GEHH49HNJM57	0.002		3TMSXRD2X7CNGB4K1IIYR0DM7X51WQ	35F6NGNVM8V6DWIZ5RPUH61GRGKT7H	1	0	961	961	961	0
A3GIIL73GE2CBQ	0.500		386PBUZZXG9E0Y8PNTH2MPSS37MLJ6	3TX9T2ZCB9DHPNSZJRMOVA1E53YZWO	1	0	1130	1130	1130	0
A3H8M155NBFE1L	0.884		3GS6S824SR9QUIB965GWO7QPAYVNW5	3W1K7D6QSBTP1KUOO0QS8WOTV2HBZL	1	0	1087	1087	1087	0
A3HESOWHVBQOEI	0.749		3SEPORI8WOBN4UMP8OVY1507STOZAB	37ZQELHEQ0AR3MK2C157RPSEXNTNML	1	0	1005	1005	1005	0
A3HMDGRGC5JB7E	0.002	This is a great hit, I loved the critical thinking and debate and would love to have some feedback if I did not do a correct job.  Thanks!	3G5W44VEU8UTPQ06UNKYACNXMFFKGD	35F6NGNVM8V6DWIZ5RPUH61GRGKT7H	1	0	767	767	767	0
A3L0DCUXI7X3A9	0.667	no problems	3U5JL4WY5LLJXA6TY5XMRHYWSJJ4XX	3BKZLF990ZBC00M8BWLZPEAQB8UYQ9	1	0	745	745	745	0
A3MYPYBVHX7FQ2	0.524	It was fun to do, I hope I did it well.	3GM6G9ZBKO9SKJMFZZWLO8UQ1E3TML	3ZFRE2BDQ9QWENXPTWIAXTFLE54ZXH	1	0	1141	1141	1141	0
A3QSFE6GKO157S	0.998	The timer was a bit short.	3NPFYT4IZDGZ9QZDT6ZN06VZIOFXG0	3G5RUKN2ECFCW218NS12M3MUXO69NS	1	0	888	888	888	0
A3S1TLYMH9WWUG	0.583	Thanks and have a nice day!	3Z3ZLGNNSJ6E6HMDCDXBN4AXHGNQ3O	3TX9T2ZCB9DHPNSZJRMOVA1E53YZWO	1	0	570	570	570	0
A3SKCD4S91W2HE	0.691		3ZGVPD4G6UTSJQLYEOMFWAQZGJNZTC	3URJ6VVYUPZTHHV87C5OKKBJ16X4O6	1	0	1009	1009	1009	0
A3SOZYQZWJOOYS	0.998		3BF51CHDTWM5CWODA0SYCSKPNI80HA	3G5RUKN2ECFCW218NS12M3MUXO69NS	1	0	901	901	901	0
A8RDXT4ZILHQT	0.749	The marijuana example reads strangely. Is the first claim, that marijuana is a gateway drug, supposed to be the unsupported claim? The reasoning doesn't make sense with the second.	3IAS3U3I0GS2HTO5PVMG95A6P20B20	37ZQELHEQ0AR3MK2C157RPSEXNTNML	1	0	1135	1135	1135	0
ABNJUVNHFVINU	0.999		3OF2M9AATH0TG7VBKF8NVJ33X60ZKA	3MXX6RQ9EVHB2H79MCI39KG9BBT4PN	1	0	1007	1007	1007	0
ABRF7DFZZL3UC	0.500		3UNH76FOCTHO15L995JKWPM5GGLMY3	3TX9T2ZCB9DHPNSZJRMOVA1E53YZWO	1	0	1101	1101	1101	0
ABX5OQLR6UNBC	0.056		3X4MXAO0BH0B9G31ZCXDXRVZBVYRWB	3BKZLF990ZBC00M8BWLZPEAQB8UYQ9	1	0	680	680	680	0
AC5UD8N187QD6	0.381		3IRIK4HM3BW99ZZCQXUEA2X0NS1C6O	3HA5ODM5KA479M6GYPNKDFLXBFDVSM	1	0	1085	1085	1085	0
AC8IEBY696VJO	0.192		34Z02EIMITPVH5F8AU9NQBNDYC30TK	3ZFRE2BDQ9QWENXPTWIAXTFLE54ZXH	1	0	1096	1096	1096	0
AEI5USUUPBU2G	0.382	Great HIt. Would love the qual. Very interesting and different from other turking!	3X1FV8S5JY3751UITRY5CLYE2DKGVT	3HA5ODM5KA479M6GYPNKDFLXBFDVSM	1	0	1194	1194	1194	0
AFUX7IUQOE0NA	0.749	I hope I did this right, it was tricky.	3SPJ033422FY0XFO686SGXUOCM4YJP	37ZQELHEQ0AR3MK2C157RPSEXNTNML	1	0	850	850	850	0
AHEVIE2NY1W1Z	0.523		3STRJBFXOX3XUVMCENJ59V2MC98TKG	3URJ6VVYUPZTHHV87C5OKKBJ16X4O6	1	0	992	992	992	0
AHT8HA3JRWVGV	0.004		3R9WASFE20SI0L3XJ4HQF6BYPAJZF8	3W1K7D6QSBTP1KUOO0QS8WOTV2HBZL	1	0	679	679	679	0
AJWES6SFIP3AT	0.856		3M23Y66PO3JPGGO8NJKEP71I9VP6SE	3BKZLF990ZBC00M8BWLZPEAQB8UYQ9	1	0	1158	1158	1158	0
AK7NIT4IJ8X6D	0.998	The task was easy to understand. It was interesting to do something like this in contrast to some of the other HITs I usually do.	3L2IS5HSFBUD2EM4B51V6J5SPJVUNQ	3G5RUKN2ECFCW218NS12M3MUXO69NS	1	0	803	803	803	0
AMUV60QYHNUR3	0.667	I am not sure I understood the HIT but I hope I did! This looks interesting and I really want to qualify!	3NAPMVF0ZXRFFHLFCEA043OA6DY27W	3MXX6RQ9EVHB2H79MCI39KG9BBT4PN	1	0	856	856	856	0
AN9MVFWRCF2OP	0.005		3MAOD8E57RM5JIGZGACIQQ4WJ01NXY	3W1K7D6QSBTP1KUOO0QS8WOTV2HBZL	1	0	634	634	634	0
AOTF48KUV9KWM	0.192		3OXV7EAXLF2LWZ3TX4JDHZT6HGC367	3MXX6RQ9EVHB2H79MCI39KG9BBT4PN	1	0	903	903	903	0
APO6KZZ79PO9Q	0.004	those are complex issues	3X1FV8S5JY3751UITRY5CLYE2D7VGV	3W1K7D6QSBTP1KUOO0QS8WOTV2HBZL	1	0	547	547	547	0
AR75XTT2KAUL2	0.315	Very fun thank you.	3M68NM076IJDF1OV8UK9ZXWMNUSR6Z	3URJ6VVYUPZTHHV87C5OKKBJ16X4O6	1	0	680	680	680	0
AROEBUDI2L9G9	0.620		382M9COHEIR9889RI6YCGWBJBQWEUL	3N3WJQXELS2B8IDOQ668ZOARMNCL2Q	1	0	1195	1195	1195	0
ATOV0H5KQHI29	0.187		38YMOXR4MVBINX5H7OUFMW43F8J6WR	3N3WJQXELS2B8IDOQ668ZOARMNCL2Q	1	0	880	880	880	0
AVQGY7FCU80XP	0.583	no comments	34MAJL3QP5Z7HCZFEGQYK19SLOK34Y	37ZQELHEQ0AR3MK2C157RPSEXNTNML	1	0	1108	1108	1108	0
AX06ZUCRNSGB3	0.003		32XVDSJFP09Y0KS2GKCPNLL0113M2Z	35F6NGNVM8V6DWIZ5RPUH61GRGKT7H	1	0	869	869	869	0
AXJ1PE87PD0KK	0.005		3P1L2B7AD21S19ZM3697UL9E21AOL6	35F6NGNVM8V6DWIZ5RPUH61GRGKT7H	1	0	1039	1039	1039	0
AXR8QNGNBF1DU	0.747		3WRFBPLXRB0T3K9LWL5UJAFSC50N3Y	3URJ6VVYUPZTHHV87C5OKKBJ16X4O6	1	0	1031	1031	1031	0
