author	voteUpCount	voteDownCount	text	id	timestamp	title	description	url	stance1	stance2	annotatedSarcastic	annotatedStanceBothSides	annotatedStance
john	21	0	"In 1860, the US Census reports that less than 2% of the census populations owned even one slave. Even in the Deep South, less than 4% of the population owned a slave. And, history shows that amongst the Southern slave owners were Blacks and African Americans. When one considers that most of the wealth generated by the industrial revolution occurred in the slave free North, it's hard to agree with the author's statement that ""...much of the wealth enjoyed by"" the US was gained through the slave trade. Overall, out of the 12-15 million Africans transported to the Americas, less than 4% ended up in British North America or the subsequent US. It would make as much sense for African Americans to seek reparations from the West African kingdoms that captured the slaves and sold them to European slavers."	16318175	Thu Oct 08 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	false	false	Former colonial powers should not pay reparations
William Case	10	0	The chief argument against slave reparations in the United States is that the descendants of Africans transported as slave to the present-day United States are much better off than the descendants of Africans whose ancestors were not enslaved and transported to the United States. Today, the average per-capital income in Sub-Sahara Africa is about $750 a year and the average life expectancy is about 50 years. Africans Americans are by far the world's most affluent large black population.	16318006	Thu Oct 08 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	false	false	Former colonial powers should not pay reparations
David & Vernice Cohen	2	0	Instead of reparations maybe the more wealthy and more developed countries could use provisions in their mutually beneficial trade pacts to help the sluggish economies of the Island Nations that were devastated by the slave trade and then abandoned. Documentation and periodic reviews might help identify the best of those policies and make adjustments for the good of all involved.	16325283	Fri Oct 09 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	false	false	Former colonial powers should pay reparations
Shreknangst	6	0	??? Reparations??? OK that means damage was done and the descendants of those who were brought to what is now the USA would need to prove they would be better off living under the Boko Haram. Keep in mind -- those who were slaves in the Americas were also slaves in Africa -- and were under the Islamic slave trade when sold to the Triangle Trade merchants. Thus slaves=slaves and they again need to show they, via their ancestors, are worse off by not having remained slaves in Africa. Then to there is apportionment ... would payments be made on the percentages of African DNA ? ??? or just based on skin color ??? Most people with African slave ancestors also have a larger percentage of DNA from Europe. Thus, only the slave percentage warrants consideration in the discussion -- the European portion is not due anything.	16319972	Fri Oct 09 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	true	false	Former colonial powers should not pay reparations
Julie	6	0	To those who feel wronged by the colonial slave trade: How much money per victim would be enough to satisfy the majority of those who feel affected? Would people of mixed race be given only a percentage of reparations equivalent to their African heritage? Would DNA tests be required for everybody? If the reparations wouldn't be race-based, what records would be used by people to prove that their ancestors were enslaved? Would descendants of white Quakers or poor white people (who were on record in the censuses as being non-slave owners) be required to pay too? Would descendants of white people from the North who fought in the Civil War against slavery have to pay as much as descendants of people from the Confederate states? What about financial accountability from descendants of Africans who are on record in the census as being slave-holders, or descendants of the tribespeople that helped facilitate the slave trade in Africa?	16319184	Fri Oct 09 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	true	false	Former colonial powers should not pay reparations
Mr. Phil	3	0	As degrading and horrible as the act of human trafficking was during the transatlantic slave trade, nothing can be done to heal that wound. At the time it was acceptable; when the New World was discovered, once America declared it independence, slavery was abolished after much 'kicking and screaming'. Consider this: IN NO WAY, SHAPE OR FORM excusing the action, the benefit derived was the citizenship and cultural influence in helping shape the country - both good and bad. While the black community makes up ~18% of the population, issues like illegal immigration and immigration reform have a large impact on the economic well-being in the minority precincts around the country. The white-Hispanics who want open borders and demand job opportunities when they're not US citizens are the ones haranguing the legislators about amnesty and work permits. Issuing work permits and SSNs will only create more identity theft and fewer employment opportunities for the minority community. Is that any kind of reparation?	16318425	Fri Oct 09 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	false	false	Former colonial powers should not pay reparations
Curious George	17	0	A note regarding reparations for slavery: The West African slave trade was driven largely by internecine tribal warfare, in the course of which captured soldiers and civilians would often be sold as human chattel. European countries, followed by their western colonies, profited from this trade for several hundred years....a blot on their history, no doubt. But when they discontinued their part in the trade, and actively (in the case of Britain) sought to suppress it, there was an angry reaction from the indigenous rulers of West Africa, because slavery was the mainstay of their economies. The trade continued unabated (if perhaps less lucratively), as slaves were sold to the North African and Arab states, right up to the 1960s. The inter-African and Arab slave markets (exemplified by the famous slave market of Zanzibar) had in any case been the primary destination for West African slaves since time immemorial. So if there is to be compensation, perhaps it should come first from Ghana, Benin, Cote d'Ivoire and other West African countries....that is, from the descendants of those who sold so many of their so-called brothers and sisters into bondage, for as long as the rest of the world allowed it.	16317447	Thu Oct 08 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	false	false	Former colonial powers should not pay reparations
SoCal Observer	22	0	Blacks sold blacks into European/American slavery. The African tradition of slavery still persists in many parts of Africa. Mauritania leads with an estimated 10-20% of the population in slavery. Move on liberals ..... focus on today's slavery and the cultural issues that face Africa. How about focusing on today's sex slavery in the US in most major cities. Modern efforts to atone such as the Pigford Settlement are a total embarrassment and an under-reported scandal costing taxpayers $4-5 Billion. BTW - My family never owned slaves but a dozen of my family members fought in the civil War with two being killed, one in Savannah after the march to the sea and one on the second day of Gettysburg. Nobody paid my family any reparations. Move on!	16314901	Thu Oct 08 00:00:00 CEST 2015	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	/roomfordebate/2015/10/08/are-transatlantic-slave-trade-reparations-due	Former colonial powers should not pay reparations	Former colonial powers should pay reparations	false	false	Former colonial powers should not pay reparations
Steve	3	0	Nothing like giving a device that talks to the person to a patient with schizophrenia who may believe that others are able to read their thoughts or insert thoughts into their minds. I'm sure that would help the person feel a whole lot better.	16157214	Tue Sep 22 00:00:00 CEST 2015	Depressed? There's an App for That	Can apps be used to treat depression and anxiety?	/roomfordebate/2015/09/22/is-depression-treatable-with-a-mobile-phone-app	Apps can be used to treat depression and anxiety	Apps cannot be used to treat depression and anxiety	true	false	Apps cannot be used to treat depression and anxiety
Barbara Miles	2	0	"Thanks for this article. I have had the wonderful fortune to have spent a good part of my professional life interacting with deaf-blind children and adults. All that I have learned from interacting with them supports Matthew Hertenstein's thoughts here. Touch conveys SO much. People without vision and hearing are experts in reading subtleties of touch in others. I have had to learn (and am still learning) to speak their language, and in the process have come to understand and appreciate deeply what Matthew Hertenstein means when he says that, ""Some people need other humans more than they think."" Perhaps not only some people, but all people. Touching a screen is nothing like touching another human being."	16157609	Tue Sep 22 00:00:00 CEST 2015	Depressed? There's an App for That	Can apps be used to treat depression and anxiety?	/roomfordebate/2015/09/22/is-depression-treatable-with-a-mobile-phone-app	Apps can be used to treat depression and anxiety	Apps cannot be used to treat depression and anxiety	false	false	Apps cannot be used to treat depression and anxiety
Destiny	1	0	While reading Said's article, my thoughts on the need of professional critics was swayed. Valid points were made on the role of a professional critic, and the difference between them and amatuers in the theatre world. For the sake of the art it is necessary that the people critiquing it know exactly what they are talking about because there are a lot of little details that the average person with no theatre background wouldn't take into account. In some area's such as theatre, a professional critic is required.	7385804	Mon Oct 15 00:00:00 CEST 2012	Do We Need Professional Critics?	Can professional criticism stay relevant in a media landscape overflowing with opinions?	/roomfordebate/2012/10/07/do-we-need-professional-critics	We do not need professional critics	We need professional critics	false	false	We need professional critics
Mario R	1	0	"Najla Said states, ""Criticism must be treated as a job that requires knowledge, skill and a certain degree of objectivity, like every other area of journalism."" I only read professional critic reviews, due to their experience and Knowledge. I find the random outburst of amateur critics annoying and incredible. Without the professional viewpoints there will not be any stable viewpoints of entertainment to consider."	7367236	Fri Oct 12 00:00:00 CEST 2012	Do We Need Professional Critics?	Can professional criticism stay relevant in a media landscape overflowing with opinions?	/roomfordebate/2012/10/07/do-we-need-professional-critics	We do not need professional critics	We need professional critics	false	false	We need professional critics
MR	1	0	At first the need for one person's opinion seemed unnecessary to me when we get so many for no cost but having critics is still very important in our lives; in the lives of the artist. To just the viewer it might not be so important for a professional critique but for the people behind the show it means a lot. Even if the critique isn't the most positive thing the artist still needs someone with experience to call them out on the things they might have not seen for themselves. Not just people that have time to post up ignorant comments.	7367053	Fri Oct 12 00:00:00 CEST 2012	Do We Need Professional Critics?	Can professional criticism stay relevant in a media landscape overflowing with opinions?	/roomfordebate/2012/10/07/do-we-need-professional-critics	We do not need professional critics	We need professional critics	false	false	We need professional critics
Jason Shueh	1	0	As much as writers, directors and musicians may hate them, as much as the public may ignore them and as much as their craft wavers in the subjective. Critics - the good ones, educated and culturally matured - bring accountability and measurement to the arts. They save a reader a few bucks at the bookstore and theater, they also delineate borders between taste and the tasteless, separate writers such as Colum McCann from	7326661	Mon Oct 08 00:00:00 CEST 2012	Do We Need Professional Critics?	Can professional criticism stay relevant in a media landscape overflowing with opinions?	/roomfordebate/2012/10/07/do-we-need-professional-critics	We do not need professional critics	We need professional critics	false	false	We need professional critics
Doris Liebman Appelbaum	1	0	Constructive, professional criticisms are a must. I, for one, never read reader reviews. I don't know them, their reputations, nor their philosophies. Just as I am a professional in my field (resume writing and career coaching), I appreciate the work of professionals who critique literature, theater, and movies.	7329563	Tue Oct 09 00:00:00 CEST 2012	Do We Need Professional Critics?	Can professional criticism stay relevant in a media landscape overflowing with opinions?	/roomfordebate/2012/10/07/do-we-need-professional-critics	We do not need professional critics	We need professional critics	false	false	We need professional critics
sophiegracenyc	1	0	In my experience, bloggers are much kinder to productions than professional critics because they want their reviews to be publicized and linked to by theaters (and they want to continue to get free tickets). It's understandable, but it isn't much much of a service for theatergoers.	7328014	Mon Oct 08 00:00:00 CEST 2012	Do We Need Professional Critics?	Can professional criticism stay relevant in a media landscape overflowing with opinions?	/roomfordebate/2012/10/07/do-we-need-professional-critics	We do not need professional critics	We need professional critics	false	false	We need professional critics
Charles Michener	2	0	"I've been a national critic of film, music, photography, books and cultural issues in general. I've always preferred the term ""writer about . . ."" to ""critic"" or ""reviewer"" (as in ""writer about movies or ""writer about dance""). A cultural subject - a live performance, a book, a painting, a film - is simply a complex occasion for writing well about something. A piece of ""criticism"" is worthwhile not because of its particular opinion, but because it is entertaining, provocative, and illuminating not just of the particular work but of the work's place in a larger historical, artistic and social context. Ultimately, any ""critic"" stands or falls on self-revelation: the subject under scrutiny is as much his or her particular prejudices, enthusiasms and acuity as the work under discussion. Professional critics are crucial to cultural vitality in many ways - as champions of unfamiliar works, as stimulators of curiosity, as goads to clearer, deeper thinking about an artistic experience, to name a few. Unlike the casual opinionators who crowd the Internet, the best professional critics become longtime companions - passionate, prickly friends with whom one can agree, laugh and argue over many shared experiences."	7327906	Mon Oct 08 00:00:00 CEST 2012	Do We Need Professional Critics?	Can professional criticism stay relevant in a media landscape overflowing with opinions?	/roomfordebate/2012/10/07/do-we-need-professional-critics	We do not need professional critics	We need professional critics	false	false	We need professional critics
John Casey	1	0	Most of the clutter of opinion is just clutter. Among literary critics I have learned which ones are discerning, which ones full of hooey. As for the wisdom of the crowds, there are very likely wonderful and valuable opinions, but how much time it takes to wade through the blather! I wait for friends to tell me which websites are worth taking a look at. Time is NOT of the essence when it comes to finding good art whether in music, literature or painting.. For theater a timely notice might be helpful.	7328175	Mon Oct 08 00:00:00 CEST 2012	Do We Need Professional Critics?	Can professional criticism stay relevant in a media landscape overflowing with opinions?	/roomfordebate/2012/10/07/do-we-need-professional-critics	We do not need professional critics	We need professional critics	false	false	We need professional critics
mycomment	4	0	These are good points, but I have to say that this was my philosophy for five years and then I realized that my hands-off approach had not met the needs of my child who would have benefited from more organizational support and parental involvement. Some children do need a parent or adult there to contain the frustration and model working habits.	13320024	Thu Nov 13 00:00:00 CET 2014	Whose Work Is Homework?	Should parents help their children with homework? Or do they end up doing more harm than good?	/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework	Parents should help their children with homework	Parents should not help their children with homework	false	false	Parents should help their children with homework
Alan	1	0	There is a difference between doing the homework for them and helping them understand the principles. A parent should never do the work for them, but should help with understanding when required. establishing good study habits and monitoring results. Our children were completely different in dealing with homework. Our son was a last minute kid and our daughter started as soon as she got the assignment. Both did very well in school and have successful careers. They were just different and our goal was to assure they got their work done and understood it.	13321356	Thu Nov 13 00:00:00 CET 2014	Whose Work Is Homework?	Should parents help their children with homework? Or do they end up doing more harm than good?	/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework	Parents should help their children with homework	Parents should not help their children with homework	false	false	Parents should help their children with homework
Norville T Johnson	1	0	I completely agree with the comments posted by Mike Melcher. Milner used this as an opportunity to push his upcoming book. Yes equality is a problem and has been a problem throughout human existence. He avoided the issue. All kids need to do homework. It is a simple way to see if your child is learning, if they sit down in front of an assignment and have no idea what to do, you as a parent need to be aware of that and help them learn. It's part of the job description, at least in my book. And if I can teach my kid more than someone else, well that's life. Someone will always have more and someone will always have less. I still need to do the best I can.	13322086	Thu Nov 13 00:00:00 CET 2014	Whose Work Is Homework?	Should parents help their children with homework? Or do they end up doing more harm than good?	/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework	Parents should help their children with homework	Parents should not help their children with homework	false	false	Parents should help their children with homework
Amy M	1	0	I must say I beg to differ. I think parents should help with homework and I think homework is helpful. My daughter usually only has 1 page of math homework per night which I make sure she completes. I have her sit beside me to work on it and I help her as needed. The homework is tied to what they have done that day in math and I feel it reinforces the concept. I agree that children need time to play and relax but if they don't do any homework/extra academics outside of school hours, how are they going to be able to compete and excel at the college level? Kids can't suddenly be prepared for college when they are in 12th grade -- they need to start becoming academically disciplined in the elementary grades. I feel that my daughter does much better in school and has a much more positive attitude towards her studies than if I were not involved.	13343210	Mon Nov 17 00:00:00 CET 2014	Whose Work Is Homework?	Should parents help their children with homework? Or do they end up doing more harm than good?	/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework	Parents should help their children with homework	Parents should not help their children with homework	false	false	Parents should help their children with homework
Julie	3	0	"Growing up, I was always a high academic achiever. Still, I always asked my parents to proofread my work before turning it in. Those evenings in which my parents edited at my side turned out to improve my writing so much more than my teachers ever could. That one-on-one, painstakingly specific instruction taught me that active voice is preferable to passive and that there is a difference between formal, academic essays and casual, creative writing. Just because my parents helped me craft an essay didn't mean I didn't learn to become a better writer from that experience, and it certainly didn't make me dependent on them throughout my life. My younger sister, on the other hand, resisted their help, preferring to do her work alone. She became an exceptional writer and went to a great school. In the end, each kid has different needs. I don't think you can make a blanket statement saying ""all parents should do this"" or ""all homework help (or homework, for that matter) is counterproductive."""	13321059	Thu Nov 13 00:00:00 CET 2014	Whose Work Is Homework?	Should parents help their children with homework? Or do they end up doing more harm than good?	/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework	Parents should help their children with homework	Parents should not help their children with homework	false	false	Parents should help their children with homework
R. Henderson	2	0	Yes, it is important for children to learn how to do their homework by themselves. However, reviewing assignments with them can often help them to see where they made mistakes or help them to clarify matters that they may not fully understand. If a child is able to feel comfortable discussing material with his or her parent, there is an opportunity to reinforce what the child is learning. These interactions can build self-confidence and help to develop critical thinking. Students who are in large classes rarely get the type of individual attention in a class that they may receive from an involved parent at home. Sometimes revisiting the material at home can present a child with the opportunity to understand more about it.	13319707	Thu Nov 13 00:00:00 CET 2014	Whose Work Is Homework?	Should parents help their children with homework? Or do they end up doing more harm than good?	/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework	Parents should help their children with homework	Parents should not help their children with homework	false	false	Parents should help their children with homework
AC	5	0	Since many teachers don't actually teach, are left by the administration to run a classroom any way they want to, since it is extremely rare for any public school to have a code of conduct for teachers, for instance that they grade homework in a timely manner and provide prompt feedback, parents must too often fill in and do the individualized teaching that their kids need, and are not getting at the school.	13319591	Thu Nov 13 00:00:00 CET 2014	Whose Work Is Homework?	Should parents help their children with homework? Or do they end up doing more harm than good?	/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework	Parents should help their children with homework	Parents should not help their children with homework	false	false	Parents should help their children with homework
A Goldstein	2	0	I believe there are no hard rules regarding parental involvement with homework. What is being overlooked in this discussion is the insight parents can get into so many aspects of their child's development including: 1) Academic progress in different subjects 2) Developing interests in potential careers 3) Relationships with teachers and even school peers 4) Early warnings of problems in school or more personal issues. Hints about all these issues can be discerned by the parent who takes time to help their children with homework which can even be just a guise for LISTENING. Homework involvement was a great opportunity to learn how our kids were doing.	13316560	Thu Nov 13 00:00:00 CET 2014	Whose Work Is Homework?	Should parents help their children with homework? Or do they end up doing more harm than good?	/roomfordebate/2014/11/12/should-parents-help-their-children-with-homework	Parents should help their children with homework	Parents should not help their children with homework	false	false	Parents should help their children with homework
Matt F	12	0	Humans don't resemble vegetarian mammals (cows, sheep) any more than we resemble bears. We are primates, and our closest genetic relatives (chimps) are omnivores. What's more revelant is that our digestive systems are still we equipped for eating raw animal protein such as sushi, clams and oysters on the half-shell, and steak tartare. Don't try eating raw potatoes, beets, or beans though, they're all indigestible to us. Although cutting back on animal-based foods is certainly healthful, a purely vegan diet offers many challenges to be complete.	6026123	Thu Apr 19 00:00:00 CEST 2012	Is Veganism Good For Everyone?	Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?	/roomfordebate/2012/04/17/is-veganism-good-for-everyone	Veganism is good for everyone	Veganism is not good for everyone	false	false	Veganism is not good for everyone
Kate	7	0	This argument is seriously flawed. What are this guy's qualifications? He's a chef, not an evolutionary biologist. Every living thing has evolved with certain traits that have enabled it to thrive. No, we may not have the speed and strength to kill a deer with our bare hands. But we have other evolutionary advantages that have enabled us to eat animals. Humans have been eating meat for millennia and our bodies have adapted to an omnivorous diet. If we weren't fit to eat animals we'd be extinct by now. Eating raw meat makes people sick because modern factory farming and slaughterhouse practices lead to contamination. It's also the modern industrial diet that has lead to our current health problems (diabetes, heart disease, etc.) If people ate the way they did a hundred years ago and earlier (including eating meat) we'd all be a lot healthier. It's not meat that's the problem.	6024130	Wed Apr 18 00:00:00 CEST 2012	Is Veganism Good For Everyone?	Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?	/roomfordebate/2012/04/17/is-veganism-good-for-everyone	Veganism is good for everyone	Veganism is not good for everyone	false	false	Veganism is not good for everyone
Stanley Bodkins	1	0	Look at the human species not other animal species. It's not vegies and whole foods that make a major portion of Western diet eaters overweightt and obese. It's not vegies that puts a major portion of the US population on statins to reduce bad cholesterol. It's not vegies that are helping to raise medical costs to astronomical heights.Perhaps a major portion of the problem lies in the high animal fat Western diet.	6023403	Wed Apr 18 00:00:00 CEST 2012	Is Veganism Good For Everyone?	Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?	/roomfordebate/2012/04/17/is-veganism-good-for-everyone	Veganism is good for everyone	Veganism is not good for everyone	false	false	Veganism is good for everyone
BK	5	0	"No offense, Brian Patton, but this is by far the worst argument I have ever read in the NYT. Since when did we start basing our knowledge of what animals have been ""designed"" to eat on comparisons with the grizzly bear? So because a fox can't take down a deer, it should secretly be an herbivore? And no, we don't look like grizzlies, but we do look a hell of a lot like chimps and other primates that will rip animals apart with their bare hands and ""digest the raw innards"" just fine. Please don't base your argument on ""the logic of the animal kingdom"" when you clearly have no concept of biology or evolution. You're a chef, so you presumably know a lot about food. Why not construct an argument around the food itself instead of a subject you don't seem to know anything about? Just a suggestion. Thanks. Hugs and kisses. P.S. How did this actually make it into print? NYT editors, I expected better."	6017867	Wed Apr 18 00:00:00 CEST 2012	Is Veganism Good For Everyone?	Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?	/roomfordebate/2012/04/17/is-veganism-good-for-everyone	Veganism is good for everyone	Veganism is not good for everyone	true	false	Veganism is not good for everyone
Larry Figdill	10	0	You're going to have a hard time eating (at least enjoying) a purely vegan diet without processing tools. Fruits, nuts, and raw vegetables all the time? No soy milk? No tofu? No vegetable oil? No corn or wheat flour? This person makes a completely specious argument.	6016899	Wed Apr 18 00:00:00 CEST 2012	Is Veganism Good For Everyone?	Maybe some of us simply weren't built to be vegans. Is the diet good for everyone?	/roomfordebate/2012/04/17/is-veganism-good-for-everyone	Veganism is good for everyone	Veganism is not good for everyone	false	false	Veganism is not good for everyone
