" ",A10S5LDYYYB496,A1FGKIKJYSL1MI,A1LLT1N2U68K50,A1OYYWJ2B7OQTD,A1SVJRX4L97NMC,A1X9N8X97XUAYK,A21EHZ39CBILE,A2B1YSMEHN1G2K,A2GXPU7NQ4A8ZY,A2QGTGDZM7Q7RL,A2ZJOFTSMRNV9I,A35T0N6XN4KLEM,A3BL2ZEODD79AZ,A3CF8ULBSE8MTL,A3GXL3FJ42JPS8,A3TQKAOIJSPPRB,A3UDQWDFLCD7AV,A3V2MCIYI0PP1C,A8GWYS9O8FUEK,A9EQ4FWCUQVBL,AJE0K0QN4T6F0,AQ659QYKHBBDI,AUBATPCNW35B9,AWJ3J10LYEFE
12018473_02,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_03,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_04,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_05,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_06,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_07,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_08,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_09,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_10,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_11,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_12,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_13,-,O,O,Premise-B,-,-,-,O,-,-,-,-,-,Premise-B,O,Premise-B,-,-,O,O,-,-,-,-
12018473_14,-,Premise-B,O,Premise-I,-,-,-,O,-,-,-,-,-,Premise-I,O,O,-,-,O,O,-,-,-,-
12018473_15,-,Premise-I,Premise-B,Premise-I,-,-,-,O,-,-,-,-,-,Premise-I,O,O,-,-,O,O,-,-,-,-
12018473_16,-,O,Premise-B,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_17,-,O,Premise-I,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_18,-,O,Premise-I,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_19,-,O,Premise-I,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_20,-,O,Premise-I,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_21,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_22,-,O,Premise-B,O,-,-,-,O,-,-,-,-,-,Premise-B,O,O,-,-,O,O,-,-,-,-
12018473_23,-,O,Premise-I,O,-,-,-,O,-,-,-,-,-,Premise-I,O,O,-,-,O,O,-,-,-,-
12018473_24,-,O,Premise-I,O,-,-,-,O,-,-,-,-,-,Premise-I,O,O,-,-,O,O,-,-,-,-
12018473_25,-,Premise-B,Premise-I,O,-,-,-,O,-,-,-,-,-,O,O,Premise-B,-,-,O,O,-,-,-,-
12018473_26,-,Premise-I,Premise-I,O,-,-,-,O,-,-,-,-,-,O,O,Premise-I,-,-,O,O,-,-,-,-
12018473_27,-,O,Premise-I,Premise-B,-,-,-,Premise-B,-,-,-,-,-,Premise-B,O,O,-,-,Premise-B,O,-,-,-,-
12018473_28,-,O,O,O,-,-,-,Premise-I,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_29,-,O,O,O,-,-,-,Premise-I,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12762735_00,Premise-B,Premise-B,Premise-B,Premise-B,-,-,Premise-B,Premise-B,-,-,-,-,-,O,-,Premise-B,-,-,-,-,-,-,Premise-B,-
12762735_01,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,Premise-I,-
12762735_02,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,Premise-I,-
12762735_03,Premise-B,Premise-B,Premise-B,O,-,-,O,Premise-B,-,-,-,-,-,Premise-B,-,O,-,-,-,-,-,-,Premise-I,-
12762735_04,Premise-I,Premise-I,Premise-I,O,-,-,O,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,-,-,-,Premise-I,-
13085698_00,O,-,Premise-B,O,O,-,-,O,-,-,-,-,-,O,-,O,-,Premise-B,-,-,-,-,O,-
13085698_01,O,-,Premise-B,O,O,-,-,O,-,-,-,-,-,O,-,O,-,O,-,-,-,-,O,-
13085698_02,O,-,O,O,O,-,-,O,-,-,-,-,-,O,-,O,-,O,-,-,-,-,O,-
13085698_03,O,-,O,O,O,-,-,O,-,-,-,-,-,O,-,O,-,O,-,-,-,-,O,-
13085698_04,O,-,O,O,O,-,-,O,-,-,-,-,-,Premise-B,-,O,-,O,-,-,-,-,O,-
13085698_05,O,-,O,O,O,-,-,O,-,-,-,-,-,Premise-I,-,O,-,O,-,-,-,-,O,-
13085698_06,O,-,O,O,O,-,-,O,-,-,-,-,-,Premise-I,-,O,-,O,-,-,-,-,O,-
13085698_07,O,-,O,O,O,-,-,O,-,-,-,-,-,Premise-I,-,O,-,O,-,-,-,-,O,-
13085698_08,O,-,O,O,O,-,-,O,-,-,-,-,-,Premise-I,-,O,-,O,-,-,-,-,O,-
13085698_09,O,-,O,O,O,-,-,O,-,-,-,-,-,Premise-I,-,O,-,O,-,-,-,-,O,-
13085698_10,O,-,O,O,O,-,-,O,-,-,-,-,-,O,-,O,-,O,-,-,-,-,O,-
13085698_11,O,-,O,O,O,-,-,Premise-B,-,-,-,-,-,O,-,O,-,O,-,-,-,-,O,-
13085698_12,Premise-B,-,O,O,O,-,-,Premise-I,-,-,-,-,-,Premise-B,-,O,-,O,-,-,-,-,O,-
13562525_00,O,-,O,O,O,-,-,O,-,-,-,-,-,O,-,O,-,O,-,-,-,-,O,-
13562525_01,O,-,O,O,Premise-B,-,-,O,-,-,-,-,-,O,-,O,-,O,-,-,-,-,O,-
13562525_02,O,-,O,Premise-B,O,-,-,O,-,-,-,-,-,O,-,O,-,O,-,-,-,-,O,-
13562525_03,Premise-B,-,O,Premise-I,O,-,-,O,-,-,-,-,-,Premise-B,-,Premise-B,-,O,-,-,-,-,O,-
13562525_04,Premise-I,-,Premise-B,Premise-I,O,-,-,Premise-B,-,-,-,-,-,Premise-I,-,Premise-I,-,O,-,-,-,-,Premise-B,-
13562525_05,Premise-I,-,Premise-I,Premise-B,O,-,-,Premise-I,-,-,-,-,-,Premise-I,-,Premise-I,-,O,-,-,-,-,Premise-I,-
13562525_06,Premise-I,-,Premise-I,Premise-I,O,-,-,Premise-I,-,-,-,-,-,Premise-I,-,Premise-I,-,Premise-B,-,-,-,-,Premise-I,-
13562525_07,Premise-I,-,O,O,O,-,-,O,-,-,-,-,-,Premise-I,-,O,-,Premise-I,-,-,-,-,Premise-I,-
13678921_00,Premise-B,-,Premise-B,-,-,-,-,Premise-B,O,-,-,-,O,Premise-B,O,Premise-B,-,-,-,-,Premise-B,-,-,-
13678921_01,Premise-I,-,Premise-I,-,-,-,-,Premise-I,O,-,-,-,O,Premise-I,O,Premise-I,-,-,-,-,Premise-I,-,-,-
13678921_02,Premise-I,-,O,-,-,-,-,Premise-B,O,-,-,-,O,Premise-B,O,O,-,-,-,-,Premise-I,-,-,-
13678921_03,Premise-I,-,O,-,-,-,-,Premise-I,Premise-B,-,-,-,O,Premise-I,O,O,-,-,-,-,Premise-I,-,-,-
13678921_04,Premise-I,-,O,-,-,-,-,Premise-I,Premise-I,-,-,-,O,Premise-I,O,O,-,-,-,-,Premise-I,-,-,-
13678921_05,Premise-I,-,O,-,-,-,-,Premise-I,O,-,-,-,O,Premise-I,O,O,-,-,-,-,Premise-I,-,-,-
13764758_00,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
13764758_01,O,O,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
13764758_02,Premise-B,Premise-B,O,O,-,O,-,Premise-B,-,-,-,-,-,Premise-B,-,Premise-B,-,-,-,-,-,-,Premise-B,-
13764758_03,Premise-B,Premise-I,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
13764758_04,Premise-I,Premise-I,O,Premise-B,-,O,-,Premise-B,-,-,-,-,-,Premise-B,-,O,-,-,-,-,-,-,O,-
13764758_05,Premise-I,Premise-I,O,Premise-I,-,O,-,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,-,-,-,O,-
13764758_06,O,Premise-I,O,O,-,O,-,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
13764758_07,Premise-B,Premise-I,O,Premise-B,-,O,-,Premise-B,-,-,-,-,-,Premise-B,-,O,-,-,-,-,-,-,Premise-B,-
13764758_08,Premise-I,Premise-I,Premise-B,Premise-I,-,O,-,Premise-I,-,-,-,-,-,Premise-I,-,O,-,-,-,-,-,-,Premise-I,-
13764758_09,Premise-I,Premise-I,Premise-I,Premise-B,-,O,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,Premise-I,-
13764758_10,O,Premise-I,Premise-B,O,-,Premise-B,-,Premise-B,-,-,-,-,-,Premise-B,-,O,-,-,-,-,-,-,O,-
13764758_11,O,O,Premise-B,O,-,Premise-I,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
13764758_12,O,O,Premise-I,O,-,Premise-I,-,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_00,Premise-B,O,O,O,-,-,O,Premise-B,-,-,-,-,-,Premise-B,-,O,-,-,-,-,-,-,O,-
14662098_01,Premise-I,O,O,O,-,-,O,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_02,Premise-I,O,O,O,-,-,O,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_03,Premise-I,O,O,O,-,-,O,Premise-I,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_04,Premise-I,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_05,Premise-I,Premise-B,O,Premise-B,-,-,Premise-B,Premise-B,-,-,-,-,-,O,-,Premise-B,-,-,-,-,-,-,O,-
14662098_06,Premise-B,O,O,O,-,-,O,Premise-B,-,-,-,-,-,Premise-B,-,Premise-I,-,-,-,-,-,-,O,-
14662098_07,Premise-I,O,O,O,-,-,O,Premise-I,-,-,-,-,-,Premise-I,-,Premise-I,-,-,-,-,-,-,O,-
14662098_08,Premise-I,O,O,O,-,-,O,Premise-I,-,-,-,-,-,Premise-I,-,Premise-I,-,-,-,-,-,-,O,-
14662098_09,Premise-I,O,O,O,-,-,O,Premise-I,-,-,-,-,-,Premise-I,-,Premise-I,-,-,-,-,-,-,O,-
14662098_10,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_11,O,O,O,O,-,-,Premise-B,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_12,O,O,O,O,-,-,Premise-I,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_13,O,O,O,O,-,-,Premise-B,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_14,O,O,O,O,-,-,Premise-I,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_15,O,O,O,O,-,-,Premise-I,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_16,O,O,O,Premise-B,-,-,Premise-B,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_17,O,O,O,Premise-B,-,-,Premise-I,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_18,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_19,Premise-B,O,Premise-B,Premise-B,-,-,Premise-B,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_20,Premise-I,O,Premise-I,Premise-B,-,-,Premise-I,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_21,Premise-I,O,Premise-I,Premise-I,-,-,Premise-I,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_22,Premise-I,O,Premise-I,O,-,-,Premise-I,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_23,Premise-I,O,Premise-I,O,-,-,Premise-I,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_24,Premise-I,O,Premise-I,O,-,-,Premise-I,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_25,O,O,Premise-I,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
14662098_26,O,O,O,O,-,-,O,O,-,-,-,-,-,O,-,O,-,-,-,-,-,-,O,-
15163742_00,Premise-B,O,O,O,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
15163742_01,Premise-I,O,O,O,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
15163742_02,Premise-I,O,O,Premise-B,-,-,-,O,-,-,O,-,-,Premise-B,O,-,-,-,O,-,-,-,-,-
15163742_03,Premise-I,O,O,Premise-I,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
15163742_04,Premise-I,O,O,Premise-I,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
15163742_05,Premise-I,Premise-B,O,Premise-I,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
15163742_06,Premise-I,Premise-I,O,Premise-I,-,-,-,O,-,-,O,-,-,Premise-B,O,-,-,-,O,-,-,-,-,-
15163742_07,Premise-B,Premise-I,Premise-B,Premise-I,-,-,-,Premise-B,-,-,Premise-B,-,-,Premise-B,O,-,-,-,O,-,-,-,-,-
15163742_08,Premise-I,Premise-I,Premise-I,Premise-I,-,-,-,Premise-I,-,-,O,-,-,Premise-I,O,-,-,-,O,-,-,-,-,-
15163742_09,Premise-I,Premise-I,Premise-I,Premise-I,-,-,-,Premise-I,-,-,Premise-B,-,-,Premise-I,O,-,-,-,O,-,-,-,-,-
15163742_10,O,O,Premise-I,Premise-I,-,-,-,Premise-I,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
15163742_11,O,O,Premise-I,Premise-I,-,-,-,Premise-I,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
15163742_12,O,O,Premise-I,Premise-I,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
15170116_00,Premise-B,-,O,-,-,-,-,O,O,-,-,-,O,O,O,O,-,-,-,-,O,-,-,-
15170116_01,Premise-I,-,O,-,-,-,-,O,O,-,-,-,O,O,O,O,-,-,-,-,O,-,-,-
15170116_02,Premise-I,-,O,-,-,-,-,O,O,-,-,-,O,O,O,O,-,-,-,-,O,-,-,-
15170116_03,Premise-I,-,O,-,-,-,-,O,O,-,-,-,O,Premise-B,O,O,-,-,-,-,O,-,-,-
15170116_04,O,-,O,-,-,-,-,Premise-B,Premise-B,-,-,-,O,Premise-B,O,O,-,-,-,-,Premise-B,-,-,-
15170116_05,O,-,O,-,-,-,-,O,Premise-I,-,-,-,O,O,O,O,-,-,-,-,Premise-I,-,-,-
15170116_06,Premise-B,-,Premise-B,-,-,-,-,Premise-B,Premise-I,-,-,-,Premise-B,O,Premise-B,O,-,-,-,-,Premise-I,-,-,-
15170116_07,Premise-I,-,Premise-I,-,-,-,-,Premise-I,O,-,-,-,Premise-I,O,Premise-I,O,-,-,-,-,Premise-I,-,-,-
15170116_08,Premise-I,-,Premise-I,-,-,-,-,Premise-I,O,-,-,-,Premise-B,O,Premise-I,O,-,-,-,-,Premise-I,-,-,-
15332663_00,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
15332663_01,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
15332663_02,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
15332663_03,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
15332663_04,-,-,O,O,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
15332663_05,-,-,Premise-B,Premise-B,-,-,-,Premise-B,-,Premise-B,-,-,-,Premise-B,Premise-B,Premise-B,-,-,-,O,-,-,Premise-B,-
15332663_06,-,-,Premise-B,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
15332663_07,-,-,Premise-I,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
15332663_08,-,-,Premise-I,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
15332663_09,-,-,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,O,-,-,O,-
16628414_00,-,O,O,O,-,-,-,O,-,O,-,-,-,O,Premise-B,O,-,-,-,-,-,O,-,-
16628414_01,-,Premise-B,Premise-B,Premise-B,-,-,-,O,-,Premise-B,-,-,-,Premise-B,Premise-I,Premise-B,-,-,-,-,-,Premise-B,-,-
16628414_02,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,Premise-I,-,-
16628414_03,-,Premise-I,O,Premise-B,-,-,-,O,-,O,-,-,-,O,O,O,-,-,-,-,-,Premise-I,-,-
16628414_04,-,O,Premise-B,Premise-I,-,-,-,Premise-B,-,O,-,-,-,O,O,O,-,-,-,-,-,Premise-I,-,-
16628414_05,-,O,Premise-I,Premise-B,-,-,-,Premise-I,-,O,-,-,-,O,O,O,-,-,-,-,-,Premise-I,-,-
16628414_06,-,O,Premise-I,Premise-I,-,-,-,Premise-I,-,O,-,-,-,O,O,O,-,-,-,-,-,Premise-I,-,-
16628414_07,-,O,Premise-I,Premise-B,-,-,-,Premise-I,-,O,-,-,-,O,O,O,-,-,-,-,-,Premise-I,-,-
16628414_08,-,O,O,O,-,-,-,Premise-I,-,O,-,-,-,O,O,O,-,-,-,-,-,Premise-I,-,-
16628414_09,-,O,O,O,-,-,-,Premise-I,-,O,-,-,-,O,O,O,-,-,-,-,-,Premise-I,-,-
16680446_00,-,O,O,O,-,-,-,O,-,O,-,-,-,O,Premise-B,-,O,-,-,-,-,-,O,-
16680446_01,-,O,O,O,-,-,-,O,-,O,-,-,-,O,Premise-I,-,Premise-B,-,-,-,-,-,O,-
16680446_02,-,O,O,O,-,-,-,O,-,O,-,-,-,O,O,-,Premise-I,-,-,-,-,-,O,-
16680446_03,-,O,O,O,-,-,-,O,-,O,-,-,-,O,O,-,Premise-I,-,-,-,-,-,O,-
16680446_04,-,O,Premise-B,Premise-B,-,-,-,O,-,O,-,-,-,Premise-B,O,-,Premise-I,-,-,-,-,-,O,-
16680446_05,-,O,O,O,-,-,-,Premise-B,-,O,-,-,-,O,O,-,Premise-I,-,-,-,-,-,O,-
16680446_06,-,O,O,O,-,-,-,Premise-I,-,O,-,-,-,O,O,-,Premise-I,-,-,-,-,-,O,-
16962419_00,-,-,O,Premise-B,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
16962419_01,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
16962419_02,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
16962419_03,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
16962419_04,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
16962419_05,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
16962419_06,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
16962419_07,-,-,O,Premise-I,-,-,-,Premise-B,-,-,-,O,Premise-B,O,-,O,-,-,O,O,-,-,-,-
16962419_08,-,-,O,Premise-I,-,-,-,Premise-I,-,-,-,O,Premise-I,O,-,O,-,-,O,O,-,-,-,-
16962419_09,-,-,O,Premise-I,-,-,-,Premise-I,-,-,-,O,Premise-B,O,-,O,-,-,O,O,-,-,-,-
16962419_10,-,-,O,Premise-I,-,-,-,O,-,-,-,O,Premise-I,O,-,O,-,-,O,O,-,-,-,-
16962419_11,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
16962419_12,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,O,O,-,-,-,-
16962419_13,-,-,O,Premise-I,-,-,-,O,-,-,-,O,O,O,-,O,-,-,Premise-B,O,-,-,-,-
16962419_14,-,-,Premise-B,Premise-I,-,-,-,O,-,-,-,Premise-B,O,Premise-B,-,O,-,-,Premise-I,O,-,-,-,-
18039353_00,O,-,O,-,-,-,-,O,O,-,-,-,O,O,Premise-B,O,-,-,-,-,O,-,-,-
18039353_01,Premise-B,-,O,-,-,-,-,O,O,-,-,-,Premise-B,O,O,O,-,-,-,-,O,-,-,-
18039353_02,O,-,O,-,-,-,-,O,O,-,-,-,Premise-I,O,O,O,-,-,-,-,O,-,-,-
18039353_03,O,-,O,-,-,-,-,O,O,-,-,-,Premise-B,O,O,O,-,-,-,-,O,-,-,-
18039353_04,Premise-B,-,Premise-B,-,-,-,-,Premise-B,Premise-B,-,-,-,Premise-I,Premise-B,O,Premise-B,-,-,-,-,Premise-B,-,-,-
18039353_05,Premise-I,-,Premise-I,-,-,-,-,Premise-I,Premise-I,-,-,-,Premise-B,Premise-I,O,Premise-I,-,-,-,-,Premise-I,-,-,-
18039353_06,O,-,Premise-I,-,-,-,-,Premise-I,O,-,-,-,Premise-I,Premise-I,O,Premise-I,-,-,-,-,Premise-I,-,-,-
18043780_00,Premise-B,Premise-B,O,Premise-B,-,-,-,Premise-B,-,-,O,-,-,Premise-B,O,-,-,-,O,-,-,-,-,-
18043780_01,Premise-B,Premise-I,Premise-B,Premise-I,-,-,-,Premise-I,-,-,Premise-B,-,-,Premise-I,Premise-B,-,-,-,O,-,-,-,-,-
18043780_02,Premise-B,Premise-I,Premise-B,Premise-I,-,-,-,Premise-B,-,-,O,-,-,Premise-B,Premise-I,-,-,-,O,-,-,-,-,-
18043780_03,O,Premise-I,Premise-I,Premise-I,-,-,-,Premise-I,-,-,O,-,-,Premise-B,O,-,-,-,O,-,-,-,-,-
18043780_04,Premise-B,Premise-I,Premise-I,O,-,-,-,O,-,-,O,-,-,Premise-B,O,-,-,-,O,-,-,-,-,-
18043780_05,Premise-I,Premise-I,Premise-I,O,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
18043780_06,Premise-I,Premise-I,Premise-I,O,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
18043780_07,O,O,O,O,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
18043780_08,O,O,O,O,-,-,-,O,-,-,O,-,-,O,O,-,-,-,O,-,-,-,-,-
18043780_09,O,O,O,O,-,-,-,O,-,-,Premise-B,-,-,O,O,-,-,-,Premise-B,-,-,-,-,-
18043780_10,O,O,O,O,-,-,-,O,-,-,O,-,-,O,O,-,-,-,Premise-I,-,-,-,-,-
18047102_00,-,O,O,Premise-B,-,-,-,O,-,-,-,-,-,O,Premise-B,O,-,-,O,O,-,-,-,-
18047102_01,-,Premise-B,Premise-B,Premise-I,-,-,-,O,-,-,-,-,-,Premise-B,O,O,-,-,O,O,-,-,-,-
18047102_02,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
18240881_00,-,Premise-B,Premise-B,O,-,-,-,O,-,O,-,-,-,Premise-B,Premise-B,-,O,-,-,-,-,-,Premise-B,-
