	Can China Gain Journalistic Credibility?	The Chinese want to create a global news empire. Might it be an opportunity to change China's own journalistic culture?	China can gain journalistic credibility	China can't gain journalistic credibility	can-china-gain-journalistic-credibility
x	Can the Giant Stand on Its Own?	Does it deserve the benefits of being classified a 'developing country'?			can-china-stand-on-its-own
x	Can Citizens Sue Over Climate Change?	Their arguments are often unconventional, but some suits brought by youth advocates are making progress.			can-citizens-sue-the-government-over-climate-change
	Hard at Work	Can companies excel without making workers miserable?	Companies can excel without making workers miserable	Companies can't excel without making workers miserable	can-companies-excel-without-making-workers-miserable
x	Passport Diplomacy	When is Congress justified in overriding the president's foreign policy wishes? And when should it back away?			can-congress-overstep-its-role-in-foreign-policy
x	Diversity Without Affirmative Action?	Could a conservative Supreme Court decision create a more progressive college admissions process?			can-diversity-survive-without-affirmative-action
x	A Glimpse of Nature, No Sunscreen Required	"Do nature shows connect viewers with the natural world, or contribute to ""nature deficit"" and keep us indoors?"			can-documentaries-connect-us-with-nature
	Can Dual Citizens Be Good Americans?	Should dual citizenship be allowed? The pros and cons of pledging allegiance to more than one country.	Dual citizenship should be allowed	Dual citizenship should not be allowed	can-dual-citizens-be-good-americans
	Can Euro Bonds Save the Union?	Would the issuance of euro bonds help to solve the Continent's debt crisis, or simply spread the pain to the stronger nations like Germany?	Euro bonds can save the Union	Euro bonds cannot save the Union	can-euro-bonds-save-the-union
x	Can Farms Survive Without Drying Up California?	How to limit the agricultural use of water in the state as the West faces a drier future because of global warming.			can-farms-survive-without-drying-up-california-13
x	Virtuous Fast Food	Can a new wave of fast food restaurants nurture healthier alternatives and sustainable practices, or is it all just buzzwords and aggressive marketing?			can-fast-food-redeem-itself
	Can Free Speech and Internet Filters Co-Exist?	"With the goal of being ""family friendly,"" is the Internet becoming too censored?"	Internet is becoming too censored	Internet is not becoming too censored	can-free-speech-and-internet-filters-co-exist
	Can Genetically Modified Bugs Save Lives?	Is it safe and sensible to put genetically changed mosquitoes into the environment to fight disease?	Yes, it can be used for fighting deseases	No, it can't be used for fighting deseases	can-genetically-modified-mosquitoes-eliminate-dengue-fever
	Can Greece's Anti-Austerity Government Succeed?	Can Greece's new leftist government lift the country out of its economic wreckage or, by resisting its creditors, will it only make things worse?	Greece's anti-austerity government can succeed	Greece's anti-austerity government can't succeed	can-greeces-anti-austerity-government-succeed
x	Can Gun Control Still Pass Muster in the Supreme Court?	By recognizing an individual right to bear arms in overturning handgun bans, the court seemed to put gun control efforts in jeopardy. Did it?			can-gun-control-still-pass-muster-in-the-supreme-court
	Can Hamas-Fatah Unity Lead to Mideast Peace?	Will a reconciliation between Fatah and Hamas improve the chances of Arab-Israeli peace, which have dimmed as U.S.-backed talks foundered?	Hamas-Fatah unity can lead to mideast peace	Hamas-Fatah unity can't lead to mideast peace	can-hamas-fatah-unity-lead-to-mideast-peace
	Can Iran Help the U.S. in Syria?	By engaging with Iran, could the United States help bring about peace in Syria and could an attack on Syria damage such prospects?	Iran can help the U.S. In Syria	Iran cannot help the U.S. In Syria	can-iran-help-the-us-in-syria
x	Guns, Safety and Mental Health	Can changes in the American mental health system reduce gun violence without creating more problems?			can-mental-health-care-reduce-gun-violence
	Can Crime Be Ethically Predicted?	Critics say that crime forecasting infringes on civil liberties and perpetuates racial profiling.	Crime can be ethically predicted	Crime can't be ethically predicted	can-predictive-policing-be-ethical-and-effective
x	Can Pro Football Be Made Safe?	What kinds of changes in rules, equipment or practice schedules would help reduce brain injury in players?			can-pro-football-be-made-safe
	Can Russia Really Be a Partner to Bring Peace to Syria?	Can Russia be an ally in stabilizing Syria and fighting ISIS or is it too closely tied to the Assad regime?	Russia can be a partner	Russia cannot be a partner	can-russia-really-be-a-partner-to-bring-peace-to-syria
	Can Speech Be Limited for Public Workers?	Should a New Jersey transit worker be fired for burning a Koran in his off-duty hours?	Speech can be limited for public workers	Speech cannot be limited for public workers	can-speech-be-limited-for-public-workers
x	Tax Breaks for the 'Merely Affluent'	"How can federal tax policy differentiate between ""rich"" and the ""middle class""?"			can-tax-policy-distinguish-the-rich-from-the-middle-class
	Can the Human Blueprint Have Owners?	Should companies be allowed to patent genes?	Companies should be allowed to patent genes	Companies shouldn't be allowed to patent genes	can-the-human-blueprint-have-owners
x	Can the Market Stave Off Global Warming?	Is cap and trade the best chance for stemming climate change, or are other methods needed?			can-the-market-stave-off-global-warming
x	Can the Minimum Wage Be Too High?	On Monday Seattle raised its minimum wage to $15 an hour. But can the city afford it? Will it lead to job losses, as some predict, or be a model for national reform?			can-the-minimum-wage-be-too-high
x	Strained Ties With Israel	How will Israel's new government, probably the most right-wing in its history, affect relations with the United States and American peace efforts?			can-the-us-make-peace-with-netanyahus-new-government
x	Can the U.S.-Philippine Alliance Survive Duterte?	The volatile new president has threatened to ally Manila closer to Beijing.			can-the-us-philippine-alliance-survive-duterte
x	Can the U.S. Still Be a Leader in the Middle East?	Despite growing antagonism, can the United States still help achieve a sustainable peace between Israel and the Palestinians?			can-the-us-still-be-a-leader-in-the-middle-east
	Can Therapists Prevent Violence?	Do laws regarding mental health professionals' duty to warn authorities of a threat need to be toughened to make them more effective?	Yes, the laws should be toughened	No, the laws should not be taughened	can-therapists-prevent-violence
x	Can Twitter Lead People to the Streets?	What are the limitations of social media in inciting political activism?			can-twitter-lead-people-to-the-streets
x	Can Victory Be More Than a Mirage?	How can the Islamic State be undermined? Will foreign arms help defeat them or make matters worse?			can-victory-over-isis-be-more-than-a-mirage
	Can Wal-Mart Make Us Healthier?	How the company's plan to cut salt, sugar and fat from its food might affect our diets.	Wal-Mart can make us healthier	Wal-Mart can't make us healthier	can-wal-mart-make-us-healthier
x	"Can We Just ""Live With"" Terrorism?"	Were the French premier's words defeatist or a recognition of the need for a democracy to live freely?			can-we-just-live-with-terrorism
	Can Writing Be Assessed?	The SAT is making the essay component of the college admissions exam optional. Is this a sign that writing can't be properly graded?	Writing can be assessed	Writing cannot be assessed	can-writing-on-a-college-entrance-exam-be-properly-assessed
	Can Young Students Learn From Online Classes?	Online courses are increasingly common in high schools and middle schools. Is this the best way to teach that age group?	Online classes are the best way to teach	Online classes are not the best way to teach	can-young-students-learn-from-online-classes
	Could Farms Survive Without Illegal Labor?	If American growers depend on illegal labor, would strict enforcement of immigration laws drive up prices for fruits and vegetables?	Farms could survive without illegal labor	Farms couldn't survive without illegal labor	could-farms-survive-without-illegal-labor
x	Could Third Parties Determine This Election?	The historic unpopularity of Donald Trump and Hillary Clinton may make voters take a harder look at the Libertarian candidate, Gary Johnson, and the Green Party candidate, Jill Stein.			could-third-parties-determine-this-election
	Did Colorado Go Too Far With Pot?	Was the move to legalize marijuana done too quickly? Do changes need to be made to their approach?	Colorado went too far with pot	Colorado didn't go too far with pot	did-colorado-go-too-far-with-pot
x	Did the Bank Bailout Do Enough for the Country?	Did the government miss a historic opportunity to reshape the financial system -- or was its moderate approach correct?			did-the-bank-bailout-do-enough-for-the-country
	The State of the Prozac Nation	Was the antidepressant a true step forward in medicine, or did it just open the flood gates to aggressive marketing and branding of drugs?	Prozac was a true step forward in medicine	Prozac just opened the flood gates to marketing	did-the-blockbuster-prozac-help-or-hurt-medicine
x	Did YouTube Kill Performance Art?	"In the Internet age, when the line between ""happenings"" and publicity stunts has blurred, can performance art still resonate with the public?"			did-youtube-kill-performance-art
	Does the Airline Industry Need to Be Regulated Again?	Competition has shrunk, along with seating. Fees have risen, fares stay high and service is a problem. Should the government take action?	Government should regulate airline industry again	Government should not regulate airline industry again	do-airlines-need-to-be-re-regulated
x	Do Body Scanners Make Us Safer?	Travelers are resisting new airport security measures. Are there better options?			do-body-scanners-make-us-safer
x	A Special Prosecutor for Police	Should a prosecutor independent of local district attorneys always be given responsibility when police are accused of excessive force?			do-cases-like-eric-garners-require-a-special-prosecutor
	Do College Students' Votes Really Matter in an Election?	Young people are often politically active but their electoral power is unproven.	College students' votes do matter in an election	College students' votes do not matter in an election	do-college-students-votes-really-matter-in-an-election
	Do Colleges Need French Departments?	With humanities programs being cut at many universities, what do students stand to lose?	Colleges need humanities programs	Colleges do not need humanities programs	do-colleges-need-french-departments
x	Do Dramas About Slavery Stifle Tales of Black Lives Now?	Does Hollywood's focus on historic injustices against African-Americans let it avoid dealing with the problems of today?			do-dramas-about-slavery-stifle-tales-of-black-lives-now
	Do Drone Attacks Do More Harm Than Good?	Strikes have fueled anti-American sentiment, but also have taken out some terrorist targets. Are they making the U.S. safer or just more hated?	Drone attacts make more good	Drone attacks make more harm	do-drone-attacks-do-more-harm-than-good
	Do Farm Subsidies Protect National Security?	Some new House Republicans who pledged to cut spending defend the flow of money to their states. Will the system be changed?	Farm subsidies protect national security	Farm subsidies do not protect national security	do-farm-subsidies-protect-national-security
	Do Home Schoolers Deserve a Tax Break?	Some conservatives want a federal credit for families who teach their children at home. What are its chances in the new Congress?	Home schoolers deserve a tax break	Home schoolers do not deserve a tax break	do-home-schoolers-deserve-a-tax-break
	Do Immigrants Take Jobs From American-Born Workers?	Has the threat to economic stability been exaggerated or ignored?	The threat has been exaggerated	The threat has been ignored	do-immigrants-take-jobs-from-american-born-workers
	Do Non-Muslims Help or Hurt Women by Wearing Hijabs?	Some will wear a headscarf in solidarity with Muslim women. Others say that only perpetuates the sexist dogma of conservative clerics.	Non-Muslims help women by wearing hijabs	Non-Muslims hurt women by wearing hijabs	do-non-muslims-help-or-hurt-women-by-wearing-hijabs
x	Do Party Conventions Matter Anymore?	Increasingly elaborate and scripted, are political conventions worth the cost?			do-party-conventions-matter-anymore
x	Do Politicians Exploit Grief?	Politicians have often relied on the stories of those who have suffered to help move or change the minds of voters. But is it right to do so?			do-politicians-exploit-grief
x	Do Prosecutors Have Too Much Power?	When one party decides whether to bring charges, what charges to bring and whether to offer a plea bargain, is the justice system lacking checks and balances?			do-prosecutors-have-too-much-power
x	Monsters Versus Sexy Nurses	Are many of us replacing zombie and ghoul Halloween get-ups with sexy nurse and witty high-concept constructs to avoid reminders of death?			do-sexy-halloween-costumes-signify-a-fear-of-death
	Do States Need Schools for the Deaf?	A clash over whether children should be encouraged to sign, at a separate school for the deaf, or should attend 'mainstream' schools.	States need special schools for the deaf	States do not need special schools for the deaf	do-states-need-schools-for-the-deaf
	Do Teachers Need to Have Experience?	Many charter schools rely on young inexperienced, but motivated, people who quit after a few years. Is that a good idea?	Teachers need to have experience	Teachers do not need to have experience	do-teachers-need-to-have-experience
	Do Unpaid Internships Exploit College Students?	Should the government get tough to protect unpaid interns, or are internships a win-win?	Unpaid internship exploit college students	Unpaid internship doesn't exploit college students	do-unpaid-internships-exploit-college-students
x	Stopping Street Harassment	Should current laws dealing with harassment be strengthened to include catcalling, or will that go too far in controlling speech and behavior?			do-we-need-a-law-against-catcalling
	Do We Need More Advice About Eating Well?	Maybe Americans would be healthier if we understood nutrition better. Or maybe we know enough, and eat poorly for other reasons.	We need more advice about eating well	We do not need more advice about eating well	do-we-need-more-advice-about-eating-well
	Do We Need Professional Critics?	Can professional criticism stay relevant in a media landscape overflowing with opinions?	We need professional critics	We do not need professional critics	do-we-need-professional-critics
	Do We Need the C.I.A.?	Would the security needs of the United States be better served if the agency were dismantled?	We need the C.I.A.	We don't need the C.I.A.	do-we-need-the-cia
x	A Global Court's Effectiveness	Should more be done to strengthen the legitimacy of the International Criminal Court, or should it be eliminated?			do-we-need-the-international-criminal-court
x	Are We Raising Sexist Sons?	We've come so far in redefining gender roles and raising our daughters' expectations, but have we failed to teach inclusion to our boys?			do-we-need-to-change-the-way-we-raise-boys
	Do We Need to Hear From the Candidate's Spouse?	What role should spouses of the nominees play at conventions? Is it appropriate (or useful) for them to give speeches?	We need to hear from candidate's spouse	We don't need to hear from candidate's spouse	do-we-need-to-hear-from-the-candidates-spouse
	Do We Really Need FEMA?	Should the states, or private companies, take over FEMA's responsibilities for emergency response.	We need FEMA	We don't need FEMA	do-we-really-need-fema
	Do We Still Need Libraries?	What are libraries for, and how should they evolve?	We need libraries	We don't need libraries	do-we-still-need-libraries
	Do Wealthy Colleges Deserve Their Tax Breaks?	Should government change its tax exemption policies for universities as a way of equalizing educational resources in America?	Wealthy colleges deserve tax breaks	Wealthy colleges do not deserve tax breaks	do-wealthy-colleges-deserve-their-tax-breaks
x	Does a Skills Gap Contribute to Unemployment?	Can qualified workers be hard to find, or are employers simply not doing enough to find and train them?			does-a-skills-gap-contribute-to-unemployment
x	Does Al Shabab Pose a Threat on American Soil?	The militant Somali group responsible for the mall attack in Nairobi has become more sophisticated. What does that mean for the U.S.?			does-al-shabab-pose-a-threat-on-american-soil
	Is Artificial Intelligence Now the Real Deal?	When a computer beats the champion of the world's most complex game, does it mean machines are gaining the upper hand on humans?	Machines are gaining the upper hand on humans	Machines are not gaining the upper hand on humans	does-alphago-mean-artificial-intelligence-is-the-real-deal
	Does California Need High-Speed Rail?	Some say the state can't afford to build a rail line from Los Angeles to San Francisco. But maybe it can't afford not to.	California needs high-speed rail	California doesn't need high-speed rail	does-california-need-high-speed-rail
x	Does Captive Breeding Distract From Conservation?	Instead of expensive breeding programs in zoos, should scientists and activists be focused on other goals, like freezing genetic material or preserving habitats?			does-captive-breeding-distract-from-conservation
x	Does College Make You Smarter?	Students make little progress in intellectual growth in the first two years of college. Why is that?			does-college-make-you-smarter
x	Does Europe Need a New Surveillance System?	Given the attacks on Paris, is France ready to take on ISIS?			does-europe-need-a-new-surveillance-system
	Does Europe Need Ukraine?	Is Kiev a key ally to the European Union, or just a potential trading partner and a buffer against Russia?	Ukraine is EU's ally	Ukraine is just a potential trading partner	does-europe-need-ukraine
x	When Cops Kill	Does the infrequency with which police officers are held criminally liable in shootings show they are held to too low a standard or that they face too much criticism in such cases?			does-ferguson-show-that-cops-who-kill-get-off-too-easily
	Does Helping Condo Developers Hurt the City?	Have tax breaks, zoning and other policies that have fueled condo development unfairly benefited the rich at the expense of other residents?	Helping condo developers hurt the city	Helping condo developers help the city	does-helping-condo-developers-hurt-the-city
	Does Iran Remain a Threat?	Despite the accord that reduced its ability to build nuclear weapons, is it still a threat to safety and stability of the region?	Iran remains a threat	Iran doesn't remain a threat	does-iran-remain-a-threat
x	Does It Matter Where You Go to College?	What sensible and ambitious students should keep in mind about where they go to school.			does-it-matter-where-you-go-to-college
x	The Power of the Rouge Pot	Does makeup help or hinder a woman's self-esteem?			does-makeup-hurt-self-esteem
	Does Medicare Need to Be Reformed?	Congressional Republicans are eager to move forward with their longtime goal of privatizing the government health care program for the elderly.	Medicare needs to be reformed	Medicare doesn't need to be reformed	does-medicare-need-to-be-reformed
x	Does Money Really Matter in Politics?	If Jeb Bush's enormous campaign treasury could not even get him a single victory, is the role of electoral donations exaggerated?			does-money-really-matter-in-politics
x	Does Motive Matter in Mass Shootings?	Does it matter whether victims are killed by a Muslim extremist or someone with other reasons to pull the trigger?			does-motive-matter-in-mass-shootings-like-the-one-in-san-bernadino
x	Does Poetry Matter?	Sunday's New York Times Book Review featured several new collections of poems. But does poetry matter? Is it relevant?			does-poetry-matter
	Does Polling Undermine Democracy?	Have public opinion surveys been given too great a role in American politics? Are they measuring public opinion, or creating it?	Pollings undermine democracy	Pollings do no undermine democracy	does-polling-undermine-democracy
x	Should Pornography Come Out of the Closet?	Many still see sexual material as a social ill, but there are rising voices in its defense: feminists, psychologists and the women and men who watch it.			does-pornography-deserve-its-bad-rap
	Does Soccer Need FIFA?	How can the world's most popular sport avoid the traps of corruption?	Soccer needs FIFA	Soccer doesn not need FIFA	does-soccer-need-fifa
	Teaching: The Passion and the Profession	Has Teach for America raised the status of public school teachers?	TFA has raised the status of public teachers	TFA has not raised the status of teachers	does-teach-for-america-improve-the-teaching-profession
	Does Tenure Protect Bad Teachers or Good Schools?	Do job protections prevent bad faculty from being removed or do they provide for greater stability in a demanding, low-paid profession?	Tenure protects bad teachers	Tenure provides stability	does-tenure-protect-bad-teachers-or-good-schools
x	Hatred or Heritage?	Some say the Confederate battle flag breeds racism and should not be displayed. Others say it's merely a historical symbol.			does-the-confederate-flag-breed-racism
x	TV or Not TV?	Does a federal plan to buy local airwaves and sell them to telecom companies for cell service make sense?			does-the-fcc-spectrum-auction-make-sense
x	Does the Pope's Message on Divorce Weaken the Church?	By letting priests and parishioners decide when divorced Catholics can receive communion, is he being inclusive or divisive?			does-the-popes-message-on-divorce-weaken-the-catholic-church
x	Private Profit, Public Gain?	Can private investors play a role in modernizing our infrastructure?			does-the-public-benefit-from-private-infrastructure-investment
	Does the Rock Hall of Fame Matter?	Amid the usual debate about who belongs in the Hall of Fame and who gets to decide, why should music lovers care?	Rock Hall of Fame matters	Rock Hall of Fame doesn't matter	does-the-rock-hall-of-fame-matter
x	Does the U.S. Need Another War on Poverty?	Fifty years after President Lyndon B. Johnson's declaration, much has changed, but much remains the same. Or does it?			does-the-us-need-another-war-on-poverty
	Does Turkey Still Belong in NATO?	Given President Erdogan's record on human rights and how his focus on the Kurdish minority has interfered with his fight against ISIS, is he a reliable ally?	Turkey belongs to NATO	Turkey doesn't belong to NATO	does-turkey-still-belong-in-nato
x	Enforcing the Legal Rights of Animals	What factors should lead to the prosecution of a cat abuser and how extensive should the cat's legal rights be?			enforcing-the-legal-rights-of-animals
x	Are Big Banks Still a Problem?	Has the Dodd-Frank regulatory reform law done enough to eliminate the dangers in the banking system?			has-dodd-frank-eliminated-the-dangers-in-the-banking-system
x	Has Encryption Gone Too Far?	Should the needs of law enforcement be forsaken to achieve digital security?			has-encryption-gone-too-far
	Has Facebook Ruined Love?	Are tweets, status updates and tagged photographs encouraging romance or ruining it?	Social media encourage romance	Social media ruin romance	has-facebook-ruined-love
	Has Globalization Ruined Street Style?	While some cities have a unique fashion sense, others seem oddly familiar. Is the Internet to blame?	Globalization has ruined street style	Globalization has not ruined street style	has-globalization-ruined-street-style
x	Has Love Grown as Dating Apps Flourish?	Have mobile matchmaking programs gotten better at connecting young people?			has-love-grown-as-dating-apps-flourish
	Has NATO Outlived Its Usefulness?	With the Soviet Union gone and austerity challenging security, should we disband NATO?	We should disband NATO	We should keep NATO	has-nato-outlived-its-usefulness
	Has Support for Israel Hurt U.S. Credibility?	Is support for Israel so entrenched in American politics that the U.S. has lost credibility and influence in the Middle East?	Supporting Israel helps	Supporting Israel hurts	has-support-for-israel-hurt-us-credibility
x	Has the Affordable Care Act Proved Its Worth?	A Supreme Court ruling this month could threaten the health care law after three years of existence.			has-the-affordable-care-act-proved-its-worth
	Have Christians Created a Harmful Atmosphere for Gays?	Church-backed efforts to fight L.G.B.T. rights have been blamed for feeding a hateful atmosphere that accommodates attacks on gays.	Christians have created a harmful atmosphere for gays	Christians have not created a harmful atmosphere for gays	have-christians-created-a-harmful-atmosphere-for-gays
	Have Comment Sections Failed?	In recent years, many media companies have disabled them because of widespread abuse and obscenity.	Comment sections have failed	Comment sections have not failed	have-comment-sections-on-news-media-websites-failed
x	Have Wary Police Brought an End to the Drop in Crime?	Have police concerns about criticism of tough tactics led them to pull back, letting crime rise for the first time in decades?			have-fearful-police-brought-an-end-to-the-drop-in-crime
x	Have Turkish Voters Made Themselves Heard?	With Erdogan's efforts to consolidate power thwarted, could Turkey be returning to a more vigorous democracy or heading toward chaos?			have-turkish-voters-made-themselves-heard
x	Dominant Countries, Lost in Transition	With China's economy on the rise, does this necessarily mean a United States in decline?			if-china-rises-will-the-us-fall
x	Is a Deadlocked Supreme Court Such a Bad Thing?	Could the court's ideological deadlock actually lead to greater collegiality and more compromise?			is-a-deadlocked-supreme-court-such-a-bad-thing
x	America's Responsibility for Friends in Afghanistan	Should the United States offer refuge to those who helped stand up to the Taliban and now face turmoil and danger in their country?			is-america-responsible-for-afghan-refugees
	Is an Attack on Syria Justified?	Should the United States and its allies launch air strikes against Syria in response to the Assad regime's reported use of chemical weapons?	US should attack Syria	US should not attack Syria	is-an-attack-on-syria-justified
